,matricula,situacao,ano,turma
0,20170031910,REPROVADO,2017.2,04B
1,2015013555,REPROVADO,2017.2,04B
2,2015012431,APROVADO POR NOTA,2017.2,04B
3,20160107569,REPROVADO,2017.2,04B
4,20170042735,APROVADO,2017.2,04B
5,20170010670,APROVADO,2017.2,04B
6,20170040955,APROVADO,2017.2,04B
7,20170003559,APROVADO POR NOTA,2017.2,04B
8,20170038812,APROVADO,2017.2,04B
9,20170037575,APROVADO POR NOTA,2017.2,04B
10,20160130567,REPROVADO,2017.2,04B
11,20170035570,REPROVADO,2017.2,04B
12,20170040919,APROVADO,2017.2,04B
13,2014085086,REPROVADO,2017.2,03C
14,20160132220,REPROVADO,2017.2,03C
15,20170036578,APROVADO,2017.2,03C
16,20160142497,REPROVADO,2017.2,03C
17,20170037379,REPROVADO,2017.2,03C
18,2016097101,APROVADO POR NOTA,2017.2,03C
19,20160108520,REPROVADO,2017.2,03C
20,20160107184,APROVADO,2017.2,03C
21,20160142011,REPROVADO POR MÉDIA E POR FALTAS,2017.2,03C
22,20170037790,APROVADO,2017.2,03C
23,2015001788,APROVADO POR NOTA,2017.2,03C
24,20160141847,REPROVADO,2017.2,03C
25,20170040356,REPROVADO,2017.2,03C
26,2015001124,REPROVADO,2017.2,03C
27,20160142441,APROVADO,2017.2,03C
28,20160158076,APROVADO POR NOTA,2017.2,03C
29,20170042931,APROVADO POR NOTA,2017.2,03C
30,2015017410,REPROVADO POR MÉDIA E POR FALTAS,2017.2,03C
31,20170030690,APROVADO POR NOTA,2017.2,01B
32,20170033772,APROVADO,2017.2,01B
33,20170035310,APROVADO POR NOTA,2017.2,01B
34,20170038133,REPROVADO,2017.2,01B
35,20170038699,APROVADO POR NOTA,2017.2,01B
36,20170033057,APROVADO,2017.2,01B
37,20170001812,APROVADO,2017.2,01B
38,20170043133,APROVADO,2017.2,01B
39,20170034976,APROVADO,2017.2,01B
40,20170035632,APROVADO,2017.2,01B
41,20170033478,APROVADO POR NOTA,2017.2,01B
42,20170033093,APROVADO,2017.2,01B
43,20170035356,APROVADO,2017.2,01B
44,20170038311,APROVADO,2017.2,01B
45,20170102735,APROVADO,2017.2,01B
46,20170033950,APROVADO,2017.2,01B
47,20170030832,APROVADO,2017.2,01B
48,20170031393,REPROVADO,2017.2,01B
49,20170041219,APROVADO,2017.2,01B
50,20170043590,APROVADO POR NOTA,2017.2,01B
51,20170038993,APROVADO,2017.2,01B
52,20170035211,APROVADO,2017.2,01B
53,20170043394,APROVADO,2017.2,01B
54,2014096268,REPROVADO POR MÉDIA E POR FALTAS,2017.2,01B
55,20170031419,APROVADO,2017.2,01B
56,20170099110,APROVADO POR NOTA,2017.2,01B
57,20170038394,APROVADO POR NOTA,2017.2,01B
58,2015014276,REPROVADO POR MÉDIA E POR FALTAS,2017.2,01B
59,20160143251,REPROVADO,2017.2,01B
60,20160146235,REPROVADO,2017.2,04C
61,2014098502,APROVADO,2017.2,04C
62,20170037833,APROVADO,2017.2,04C
